proceso,llegada,ejecucion,memoria
P1,0,8,120
P2,1,6,200
P3,2,10,150
P4,3,5,80
P5,4,12,300
P6,5,7,100
P7,6,9,250
P8,7,4,90
P9,8,11,180
P10,9,6,140
P11,10,8,160
P12,11,5,110
P13,12,13,220
P14,13,7,170
P15,14,9,190
P16,15,6,130
P17,16,10,260
P18,17,4,95
P19,18,12,210
P20,19,8,150
P21,20,7,180
P22,21,5,120
P23,22,11,240
P24,23,6,100
P25,24,9,200
P26,25,8,160
P27,26,10,230
P28,27,4,90
P29,28,12,280
P30,29,5,110
P31,30,8,140
P32,31,6,170
P33,32,9,210
P34,33,7,150
P35,34,11,260
P36,35,5,100
P37,36,10,190
P38,37,6,130
P39,38,12,300
P40,39,8,180
P41,40,7,160
P42,41,4,90
P43,42,13,240
P44,43,6,120
P45,44,9,200
P46,45,5,110
P47,46,10,270
P48,47,8,150
P49,48,11,220
P50,49,7,140
P51,50,6,100
P52,51,9,180
P53,52,12,250
P54,53,5,130
P55,54,10,210
P56,55,8,170
P57,56,6,150
P58,57,11,260
P59,58,7,190
P60,59,4,95
P61,60,13,280
P62,61,5,120
P63,62,8,160
P64,63,10,230
P65,64,6,140
P66,65,9,200
P67,66,7,180
P68,67,12,300
P69,68,4,90
P70,69,11,240
P71,70,5,110
P72,71,8,170
P73,72,10,220
P74,73,6,150
P75,74,9,260
P76,75,7,130
P77,76,12,290
P78,77,5,100
P79,78,11,210
P80,79,8,160
P81,80,6,180
P82,81,10,250
P83,82,4,95
P84,83,13,300
P85,84,7,140
P86,85,9,190
P87,86,5,120
P88,87,11,240
P89,88,8,170
P90,89,6,150
P91,90,12,280
P92,91,4,100
P93,92,10,220
P94,93,7,160
P95,94,9,200
P96,95,5,130
P97,96,13,300
P98,97,8,180
P99,98,6,140
P100,99,11,260
